"Population estimates, July 1, by census metropolitan area and census agglomeration, 2021 boundaries 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 17-10-0148-01"
"Release date: 2026-01-14"
"Geography: Canada, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"
""
""

"Gender","Total - gender",,,,,,,,,
"Age group 8","All ages",,,,,,,,,
"Geography","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
,"Persons",,,,,,,,,
"Salaberry-de-Valleyfield (CA), Quebec","40,816","41,088","41,303","41,799","42,308","43,177","43,880","44,787","45,935","46,892"
"Sainte-Agathe-des-Monts (CA), Quebec","17,975","18,333","18,678","18,994","19,454","20,013","20,241","20,658","20,862","21,208"
"Lachute (CA), Quebec","12,796","12,885","13,087","13,377","13,664","14,226","14,828","14,994","15,177","15,364"
"Val-d'Or (CA), Quebec","33,959","33,946","34,016","34,089","34,208","34,234","34,279","34,393","34,759","34,862"
"Amos (CA), Quebec","18,827","19,006","18,903","18,860","18,886","18,958","18,939","18,934","18,962","18,862"
"Rouyn-Noranda (CA), Quebec","42,496","42,702","42,710","42,738","42,667","42,565","42,696","42,771","43,190","43,281"
"Hawkesbury (CA), Ontario/Quebec","11,975","12,173","12,183","12,193","12,200","12,333","12,428","12,515","12,717","13,134"
"Hawkesbury (CA), Ontario part, Ontario","10,364","10,477","10,477","10,465","10,484","10,506","10,561","10,596","10,821","11,196"
"Hawkesbury (CA), Quebec part, Quebec","1,611","1,696","1,706","1,728","1,716","1,827","1,867","1,919","1,896","1,938"
"Cornwall (CA), Ontario","61,165","61,645","62,320","62,720","63,136","63,680","64,435","66,346","67,926","68,503"
"Brockville (CA), Ontario","31,851","31,912","32,098","32,471","32,607","32,768","33,255","33,509","33,778","33,946"
"Pembroke (CA), Ontario","23,793","24,110","24,214","24,286","24,377","24,701","24,802","24,838","24,677","24,465"
"Petawawa (CA), Ontario","17,736","17,742","17,935","18,308","18,703","19,131","19,309","19,671","20,266","20,890"
"Cobourg (CA), Ontario","19,764","20,178","20,447","20,628","20,832","21,159","20,968","21,045","21,041","21,028"
"Port Hope (CA), Ontario","17,091","17,424","17,609","17,639","17,657","17,915","18,331","18,484","18,620","18,565"
"Kawartha Lakes (CA), Ontario","77,261","78,384","79,363","80,180","81,057","82,147","83,694","84,273","84,802","85,223"
"Centre Wellington (CA), Ontario","28,929","29,463","30,311","30,728","31,446","32,336","33,138","33,662","34,743","35,736"
"Ingersoll (CA), Ontario","13,041","13,287","13,631","13,819","13,974","14,335","14,451","14,739","14,843","15,042"
"Woodstock (CA), Ontario","42,226","43,280","44,597","45,767","47,176","48,777","50,084","51,172","52,584","53,801"
"Tillsonburg (CA), Ontario","16,191","16,786","17,120","17,741","18,109","18,700","19,052","19,535","19,938","20,575"
"Norfolk (CA), Ontario","65,668","66,423","68,032","68,944","69,276","70,300","72,233","73,373","74,384","75,773"
"Stratford (CA), Ontario","32,231","32,753","33,294","33,703","34,028","34,522","34,835","35,171","35,505","35,702"
"Chatham-Kent (CA), Ontario","104,588","105,168","105,750","106,200","107,195","108,243","109,418","110,453","111,679","112,977"
"Sarnia (CA), Ontario","98,572","99,041","100,250","100,975","101,233","101,251","104,006","106,249","108,798","108,986"
"Essa (CA), Ontario","21,754","22,123","22,508","22,915","23,343","24,039","24,611","24,863","25,361","25,868"
"Wasaga Beach (CA), Ontario","21,052","22,168","22,928","23,583","24,400","25,780","26,606","27,194","28,098","29,039"
"Owen Sound (CA), Ontario","32,496","32,715","33,032","33,314","33,585","33,887","34,365","34,747","35,176","35,534"
"Collingwood (CA), Ontario","22,323","22,710","23,389","24,187","24,949","25,714","26,286","26,821","27,092","27,266"
"Orillia (CA), Ontario","31,860","32,501","32,888","33,463","34,029","34,732","35,483","36,186","36,945","37,477"
"Midland (CA), Ontario","26,423","27,263","27,774","28,157","28,439","28,955","29,470","29,734","29,937","30,087"
"North Bay (CA), Ontario","72,305","73,118","73,496","73,645","73,974","74,521","76,924","80,138","84,475","84,834"
"Elliot Lake (CA), Ontario","10,854","11,083","11,283","11,398","11,518","11,711","11,914","11,917","11,894","11,901"
"Timmins (CA), Ontario","42,864","42,636","42,583","43,001","42,984","42,763","43,147","44,922","45,935","45,983"
"Sault Ste. Marie (CA), Ontario","80,662","80,145","80,001","80,527","80,757","80,202","81,955","84,916","88,334","88,307"
"Kenora (CA), Ontario","15,406","15,660","15,612","15,587","15,498","15,599","15,566","15,423","15,404","15,370"
"Winkler (CA), Manitoba","31,186","31,538","32,148","32,709","33,340","33,640","34,326","35,734","37,007","37,719"
"Steinbach (CA), Manitoba","16,412","16,885","17,225","17,414","17,852","18,282","18,570","19,156","19,666","20,081"
"Portage la Prairie (CA), Manitoba","13,569","13,570","13,595","13,618","13,623","13,813","13,782","13,789","13,765","13,921"
"Brandon (CA), Manitoba","53,279","54,154","54,689","55,465","55,816","55,877","57,004","59,119","61,665","62,723"
"Thompson (CA), Manitoba","14,064","14,167","14,023","13,691","13,408","13,459","13,435","13,282","13,138","13,065"
"Yorkton (CA), Saskatchewan","20,420","20,503","20,548","20,626","20,367","20,385","20,339","20,637","21,230","21,562"
"Moose Jaw (CA), Saskatchewan","36,046","36,266","36,450","36,226","35,993","35,791","35,997","36,773","37,500","37,434"
"Swift Current (CA), Saskatchewan","19,014","19,189","19,300","19,362","19,259","19,279","19,390","19,577","20,037","20,312"
"North Battleford (CA), Saskatchewan","20,533","20,476","20,306","20,090","19,889","19,886","19,836","19,850","20,340","20,772"
"Prince Albert (CA), Saskatchewan","45,591","46,233","46,473","46,966","47,055","47,084","46,934","47,229","48,306","48,655"
"Estevan (CA), Saskatchewan","13,970","13,736","13,610","13,562","13,297","13,163","13,000","13,069","13,239","13,266"
"Weyburn (CA), Saskatchewan","12,385","12,486","12,507","12,485","12,541","12,597","12,574","12,653","12,937","13,100"
"Lloydminster (CA), Alberta/Saskatchewan","37,812","37,636","37,834","37,951","37,737","37,779","37,661","38,192","39,191","39,806"
